index,title,q,a
11,'사과의 말씀 드리다'의 띄어쓰기,'말씀드리다'는 붙여 쓰는데 '사과의 말씀드리다'도 붙여 쓰나요?,"제시하신 문장은 '사과의 말씀 드리다'로 띄어 씁니다., '말씀드리다'는 한 단어이지만 앞에 관형어가 오면 '관형어+체언’ 구성인 ‘사과의 말씀’이 서술어인 '드리다’의 목적어가 되는 짜임이 되므로 '사과의 말씀(을) 드리다'와 같이 적는 것입니다."
12,"'학습 면', '학습면'의 띄어쓰기","{학습 면/학습면}에서 뛰어나다'에서 '학습 면'이 맞나요, '학습면'이 맞나요?","'학습 면'이 맞습니다. 여기서 '면'은 '어떤 측면이나 방면'의 뜻을 나타내는 명사이므로 앞말과 띄어 씁니다. 다만, ""표준국어대사전"" 편찬 지침에 따르면, '면(面)'은 1음절 한자어로서 평면이나 표면의 뜻을 나타내는 경우에는 '기름면', '마찰면', '경계면'처럼 사전 등재 여부와 상관없이 붙여 쓰는 관행이 있습니다."
13,"'수일', '수개월'의 띄어쓰기","“수 일에서 수 개월이 지났다.""에서 ‘수 일', '수 개월'은 띄어 쓰는 게 맞는 것인지요?.","'수일', '수개월'은 붙여 써야 맞습니다. '수일', '수개월'의 '수'는 본디 ‘몇’, ‘여러’, ‘약간’의 뜻을 나타내는 관형사라 뒤에 오는 단위 명사와 띄어 써야 하지만, '수일', '수개월'은 합성어로 굳어져 붙여 씁니다."
14,‘-(으)ㄹ/-는/-(으)ㄴ 만큼'의 차이,"수량이나 정도를 표시하는 ‘만큼’ 앞에 ‘-(으)ㄹ, -는, -(으)ㄴ’을 함께 쓰는 것으로 나와 있는데 ‘-는', '-(으)ㄴ', '-(으)ㄹ’을 언제 쓰는지 알고 싶어요. “하고 싶은 말을 다 할 수 {있을/있는} 만큼 영어 실력이 늘었네요.”와 같은 경우에 두 가지를 다 쓸 수 있는지요? “배운 만큼 득이 된다."", ""싫증이 날 만큼 먹다.”와 같은 경우, ‘-ㄴ’과 ‘-ㄹ’을 바꾸면 안 될 것 같은데요, 어떻게 구별해서 써야 할까요?","‘-(으)ㄹ’은 추측, 예정, 의지, 가능성 등 확정된 현실이 아님을 나타내고, ‘-는’은 현재 일어남을 나타내며, ‘-(으)ㄴ’은 과거에 일어남, 완료 상태가 유지됨을 나타내므로 맥락에 따라 구분하여 써야 합니다. “하고 싶은 말을 다 할 수 {있을/있는} 만큼 영어 실력이 늘었네요.”는 '가능성'을 나타내는 맥락이므로 '있을 만큼'이 더 자연스럽고, ""{배운/배울} 만큼 득이 된다.""는 '완료 상태가 유지됨'을 나타내는 맥락이므로 '배운'이 더 자연스러우며, '싫증이 {나는/날} 만큼 먹다'도 '가능성'을 나타내는 맥락이므로 '날'이 더 자연스럽습니다."
15,'바탕으로 (하여)'의 표현,"""다음 기준을 바탕으로 평가해 보자."", ""다음 기준을 바탕으로 하여 평가해 보자.""와 같은 표현을 쓰곤 하는데요, 두 가지 표현 중 어느 것이 맞는 표현인가요?","문장 구조상 ""다음 기준을 바탕으로 하여 평가해 보자.""가 바람직합니다. 제시하신 문장은 ‘다음 기준’이라는 대상을, ‘바탕’이라는 자격으로 삼아, 무엇을 평가한다는 뜻을 나타내므로, “특정한 대상을 어떤 특성이나 자격을 가지는 것으로 만들거나 삼다.”라는 뜻을 나타내고 ‘무엇을 무엇으로 하다’의 문형으로 쓰이는 ‘하다’를 써서, “다음 기준을 바탕으로 하여 (무엇을) 평가해 보자.”와 같이 표현하는 것이 적절합니다. 이와 관련하여, 제시하신 “부사어+용언‘ 짜임의 문장을, ‘관형어+명사’ 짜임의 문장으로 바꿀 때, “다음 기준을 바탕으로 한 평가”와 같이 쓰이게 된다는 점도 참고할 수 있겠습니다. 다만, 현실적으로는 굳어진 표현으로서 예측이 가능해서인지 흔히 '하여'를 생략하고 쓰는 듯합니다."
16,'몰두하다'의 문형,“그가 몰두하는 것은 현재의 괴로움을 잊으려는 행동에 불과하다.”에서 필수 부사어가 빠졌다고 하는데 어디에 무엇이 빠졌다는 것인가요?,"'몰두하는' 앞에 '…에'라는 필수 부사어가 빠졌습니다. ‘몰두하다’는 ‘...에 몰두하다’의 문형으로 쓰이므로, 필수 부사어 '…에'를 보완하여 ""그가 일에 몰두하는 것은 현재의 괴로움을 잊으려는 행동에 불과하다.""와 같이 표현하는 것이 적절합니다."
17,"'로서', '로써'의 차이","'석탄재{로서/로써}', '물질{로서/로써}', '근거{로서/로써}', '평가함{으로서/으로써}'는 어느 것이 바른지요?","맥락에 따라 다릅니다. 만약 ‘석탄재’, ‘물질’, ‘근거’를 수단이나 도구로 해서 무엇을 한다는 문맥이면 ‘(으)로써’가 바르고, ‘무엇이 어떠한 석탄재이다’, ‘무엇이 어떠한 물질이다’, ‘무엇이 어떠한 근거이다’와 같이 ‘석탄재’, ‘물질’, ‘근거’가 ‘무엇’의 지위나 자격을 나타내는 문맥이면 ‘(으)로서’가 바릅니다. 한편 '평가함으로서/으로써'는 평가하는 행동을 수단으로 해서 무엇을 할 수는 있지만 '무엇이 무엇을 평가함이다'와 같이 지위나 자격을 나타내는 쓰임은 잘 없으므로 '평가함으로써'가 바릅니다. <참고> 로써: 나의 주장을 이 근거로써 뒷받침하겠다. 로서: 이 문장은 나의 주장을 뒷받침하는 근거로서, 핵심을 담고 있다."
18,"‘가려워하다', '고마워하다’의 품사","가렵다', '고맙다'는 형용사인데 왜 '가려워하다', '고마워하다'는 동사로 되어 있나요?","‘가려워하다’, ‘고마워하다’는 형용사 ‘가렵다’, ‘고맙다’의 어간 ‘가렵-’, ‘고맙-’ 뒤에 ‘-어하다’가 붙어 만들어진 합성동사이기 때문입니다. 보조 동사 ‘하다’는 형용사 뒤에서 ‘-어하다’ 구성으로 쓰여, 앞말이 뜻하는 대상에 대한 느낌을 가짐을 나타내며 품사를 동사로 바꿉니다."
19,'-기에'와 '-길래'의 표현,'-기에'와 '-길래' 중 어느 것이 표준어인가요?,"'-기에'와 '-길래' 모두 표준어입니다. 원인이나 근거를 나타내는 연결 어미는 ‘-기에’만 표준어였으나, 입말에서 ‘-길래’가 많이 쓰여 '-길래'도 표준어로 인정되었습니다."
20,‘살다’의 활용,"“이곳은 참 살 만하다.”에서 '살'을 분석하면, '살다'의 어간 '살-'에서, 어간 받침 'ㄹ'이 탈락하고, 관형사형 어미 '-ㄹ'이 붙은 형태가 맞는지요?","생각하신 바가 맞습니다. 한글맞춤법 제18항에 따르면 어간 끝 받침 ‘ㄹ’이 어미의 첫소리 ‘ㄴ, ㅂ, ㅅ’ 및 ‘-오, -ㄹ’ 앞에서 원칙에서 벗어나 줄어지면 준 대로 적으므로, ‘살 만하다’의 ‘살’은 ‘살다’의 어간 ‘살-’에 관형사형 어미 ‘-ㄹ’이 붙으면서 어간의 'ㄹ'이 준 것이라고 볼 수 있습니다."
21,"'ㄱ, ㄴ, ㄷ' 등의 이름","'ㄱ, ㄴ, ㄷ' 등 한글 자모의 이름은 무엇인가요?",한글맞춤법 제4항에 따르면 한글 자모의 이름은 사전 자모 순서로 다음과 같습니다. ㄱ(기역) ㄲ(쌍기역) ㄴ(니은) ㄷ(디귿) ㄸ(쌍디귿) ㄹ(리을) ㅁ(미음) ㅂ(비읍) ㅃ(쌍비읍) ㅅ(시옷) ㅆ(쌍시옷) ㅇ(이응) ㅈ(지읒) ㅉ(쌍지읒) ㅊ(치읓) ㅋ(키읔) ㅌ(티읕) ㅍ(피읖) ㅎ(히읗) ㅏ(아) ㅐ(애) ㅑ(야) ㅒ(얘) ㅓ(어) ㅔ(에) ㅕ(여) ㅖ(예) ㅗ(오) ㅘ(와) ㅙ(왜) ㅚ(외) ㅛ(요) ㅜ(우) ㅝ(워) ㅞ(웨) ㅟ(위) ㅠ(유) ㅡ(으) ㅢ(의) ㅣ(이)
22,'사랑이라고 할'의 준말,“사랑이랄 수 있지.”라는 표현이 올바른 것인가요. 제 생각으로는 “사랑이라 할 수 있지.” 이렇게 고쳐야 하는 것이 아닌가 싶은데요.,"입말에서 흔히 쓰이는 표현입니다. 본말로는 ""사랑이라고 할 수 있지.""라고 표현해야 합니다만, 입말에서 흔히 '-고 하-'를 줄이고 “사랑이랄 수 있지.”라고 쓰입니다. 이는 ‘-라고 할까요’, ‘-라고 할지’를 줄여 “우유라도 사 오랄까요?”, “문제는 그의 성격이랄지 사람 됨됨이다.”처럼 ‘-랄까요’, ‘-랄지’로 쓰는 것과 마찬가지입니다."
23,문장 종결 표시,"문서를 정리하고 있는데 마침표를 언제 사용해야 하나요? ‘다’로 끝나면 마침표를 사용하면 되는지, 아니면 문장이 끊기면 무조건 쓰면 되는 건지요?","서술, 명령, 청유 등의 뜻을 나타내는 문장의 끝에 마침표를 씁니다. 서술문은 대체로 '다'로 끝납니다만, ""지금이 딱 좋아(요).""처럼 해체는 '-아(요)/-어(요)'로 끝나기도 하고, ""기술의 세계화를 위해 노력함."", ""끝까지 최선을 다할 것."", ""자기 물건은 자기가 정리하기."", ""오전 10시에 강당에서 설명회 개최.""처럼 용언의 명사형이나 명사로 끝나기도 하는데, 명사형이나 명사로 끝나는 경우에는 마침표를 쓰지 않는 것도 허용됩니다. 그리고 문장의 끝이라도 제목이나 표어에서는 ""꺼진 불도 다시 보자""처럼 마침표를 찍지 않는 것을 원칙으로 합니다."
24,접두사 '개-'의 쓰임,개고생'의 '개-'는 어떤 의미를 가지고 있나요?,'어려운 일이나 고비가 닥쳐 톡톡히 겪는 고생'을 이르는 ‘개고생’의 ‘개-’는 접두사로서 부정적 뜻을 가지는 일부 명사 앞에 붙어 ‘정도가 심한’의 뜻을 더합니다.
25,'서른대여섯' 띄어쓰기,‘서른대여섯’은 한 단어로 없으므로 '서른 대여섯'으로 띄어 써야 하나요?,'서른대여섯'으로 붙여 씁니다. '서른대여섯'은 한 단어로 없고 '서른'과 '대여섯'으로 이루어진 구이지만 '수를 적을 적에는 만((萬) 단위로 띄어 쓴다'는 한글맞춤법 제44항에 따라 '서른대여섯'으로 붙여 쓰는 것입니다.
26,"'없대도', '없데도'의 표기",“그 집 음식이 맛이 {없데도/없대도} 난 꼭 갈 거야.”와 같은 표현에서 ‘없데도’와 ‘없대도’ 중 무엇이 맞는지요?,'없대도'가 맞습니다. 여기서 '-대도'는 형용사 어간 뒤에 붙어 ‘-다고 하여도’가 줄어든 말입니다.
27,'깔 맞춤'의 표현,'깔 맞춤'은 바른 표현인가요?,"'깔 맞춤'은 바른 표현입니다. ""표준국어대사전""에 ‘물건의 빛깔이나 맵시’를 뜻하는 ‘깔’도 표준어로 있고, '서로 어긋남이 없이 조화를 이루다'를 뜻하는 '맞추다'도 있으므로 ‘깔(을) 맞추다', '깔(을) 맞춤’과 같이 표현할 수 있습니다."
28,'시려워'의 표준어,"노래 중에 “손이 시려워, 꽁! 발이 시려워, 꽁!”이라는 게 있는데, ‘시려워’는 바른 표현인가요?","'시려워'는 '시리다'의 비표준어 '시렵다'의 활용형으로서 바른 표현이 아닙니다. '몸의 한 부분이 찬 기운으로 인해 추위를 느낄 정도로 차다'의 뜻을 나타내는 표준어는 ‘시리다’이고, '시리다'는 '시리어'로 활용하고 줄여서 ‘시려'로 활용하기도 합니다."
29,'원룸'과 '인라인'의 표준 발음,'원룸'과 '인라인'의 표준 발음은 무엇인가요?,"현재 '원룸', '인라인'과 같은 외래어의 발음법은 정해져 있지 않습니다. 다만 '원룸'과 '인라인'의 현실 발음은 2001년에 이루어진 외래어 발음 실태 조사에서 '원룸'은 [원눔]>[월룸]>[원룸] 순으로, '온라인'은 [온나인]>[온라인]>[올라인] 순으로 발음하는 경우가 많았다는 점을 참고할 수 있겠습니다."
30,"'몰이해', '불이익'의 표준 발음","'몰이해', '불이익'의 표준 발음은 무엇인가요?","‘몰이해’는 [몰리해], ‘불이익’은 [불리익]으로 발음하는 것이 표준 발음입니다. 표준 발음법 29항에 따르면 '몰이해'와 '불이익'은 접두사의 끝이 자음이고 뒤 단어의 첫음절이 '이'라 'ㄴ' 소리를 첨가하는데, 'ㄹ' 받침 뒤에 첨가되는 'ㄴ' 소리는 [ㄹ]로 발음하므로 각각 [몰리해], [불리익]으로 발음하는 것입니다."
31,'비웃기다'의 표준어,"'웃다'의 사동사 '웃기다'처럼, '비웃다'의 사동사로 '비웃기다'를 쓸 수 있나요?","'비웃기다'는 '웃기다'처럼 한 단어로 굳어진 말이 아니므로 '비웃다'의 사동 표현은 '비웃게 하다'로 표현하는 것이 적절합니다. '-이-, -히-, -리-, -우-, -구-, -추-'와 같은 사동 접사는 현대어에서 생산적인 접사가 아니므로 사동 접미사를 붙여 임의로 사동사를 만들 수는 없습니다."
32,'웃기기'의 품사,"""그는 웃기기의 천재이다.""라는 문장에서 '웃기기'의 품사는 무엇인가요?","""그는 웃기기의 천재이다.""에서 '웃기기'의 품사는 동사입니다. 견해 차이는 있을 수 있겠지만, ""그는 웃기기의 천재이다.""에서 ‘웃기기’는 명사처럼 쓰였지만 파생명사로 굳어지지 않았으므로 동사 '웃기다'의 명사형으로 봅니다."
33,"'웅크러들다', '움츠러들다'의 표현","""몸과 마음이 웅크러든다.""에서 '웅크러든다'가 맞는 말인가요?",'웅크러들다'는 표준어가 아닙니다. 제시하신 문장에는 '몸이나 몸의 일부가 몹시 오그라져 들어가거나 작아지다' 또는 '겁을 먹거나 위압감 때문에 기를 펴지 못하고 몹시 주눅이 들다'의 뜻을 나타내는 '움츠러들다'를 쓰는 것이 바람직합니다.
34,'녘'의 띄어쓰기,"'새벽 녘/ 새벽녘', '아침 녘/ 아침녘', '황혼 녘/ 황혼녘' 중 어떤 게 맞나요?","‘아침 녘', '황혼 녘’은 띄어 쓰고 ‘새벽녘’은 붙여 쓰는 것이 맞습니다. ‘어떤 때의 무렵’이라는 뜻을 나타내는 의존 명사 ‘녘’은 '아침 녘', '황혼 녘'과 같이 앞말과 띄어 씁니다만 ‘날이 샐 무렵’을 뜻하는 ‘새벽녘’은 합성어로 굳어져 붙여 씁니다."
35,'우연히'와 '우연찮게'의 차이,'우연히'와 '우연찮게'가 어떤 차이가 있나요?,"'우연히'는 '어떤 일이 뜻하지 아니하게 저절로 이루어져 공교롭다'의 뜻을 나타내는 '우연하다'의 부사형 '우연하게'와 뜻이 같고, '우연찮게'는 '우연하지 않다'가 줄어 굳어진 '우연찮다'의 부사형이므로 구성상으로 서로 정반대입니다. 다만, 합성어 '우연찮다'의 뜻이 '꼭 우연한 것은 아니나 뜻하지도 아니하다'의 뜻으로 굳어져 '우연히'와 비슷하게 쓰이게 된 것입니다."
36,'우린'의 표현,"'우리는'을 '우린'이라는 표현으로 쓰기도 하는데, '우린'이 바른 표현인가요?","'우린'도 쓸 수 있는 표현입니다. ‘우린’은 '우리'에, 흔히 입말에 쓰여 '어떤 대상이 다른 것과 대조됨'을 나타내거나 '문장 속에서 어떤 대상이 화제임'을 나타내는 보조사 'ㄴ'이 결합한 표준어입니다."
37,'왼손'과 '오른손'의 띄어쓰기,"'왼 손', '오른 손'과 같이 띄어 써야 하나요, '왼손', '오른손'과 같이 붙여 써야 하나요?","'왼손'과 '오른손'은 붙여 써야 합니다. 관형사인 '왼', '오른'은 '왼 손목', '오른 주먹'과 같이 뒷말과 띄어 써야 하지만, '왼손'과 '오른손'은 한 단어로 굳어져 붙여 씁니다."
38,'옷걸이'와 '재떨이'의 단어형성법,"'옷걸이'와 '재떨이'는 파생어인가요, 합성어인가요?","이에 대해서는 다양한 견해가 있습니다. 다만 ""표준국어대사전""에 따라 '옷-걸이'와 '재-떨이'로 직접 성분 분석을 한다면 합성어입니다. ""표준국어대사전""'에 따르면 '옷걸이'는 '옷'과 '걸이'로, '재떨이'는 '재'와 '떨이'로 직접 분석이 됩니다. '걸이'와 '떨이'가 각각 '걸다', '떨다'의 어간에 '-이'가 붙어 형성된 것이지만 최종적으로 결합한 '옷'과 '걸이', '재'와 '떨이'는 모두 실질형태소 또는 그보다 큰 단위이므로 '옷걸이'와 '재떨이'는 모두 합성어라고 할 수 있습니다."
39,'옷 한 벌'과 '낮 한때'의 표준 발음,'옷 한 벌'과 '낮 한때'의 표준 발음은 어떻게 되나요?,"'옷 한 벌', '낮 한때'의 표준 발음은 [오탄벌], [나탄때]가 맞습니다. '옷'과 '낮'의 'ㅅ'과 'ㅈ'은 음절 말에서 [ㄷ]으로 바뀐 후 뒤에 오는 'ㅎ'과 결합하여 [ㅌ]으로 거센소리가 됩니다."
40,'올봄'과 '지난봄'의 차이,'올봄'은 가을을 기준으로 하면 지나간 계절이라 가을에 '올봄'이라고 하면 왠지 어색한데 이럴 경우 '지난봄'으로 적어야 할까요?,"가을에 '올봄', '지난봄' 모두 쓸 수 있습니다. '올봄'은 '다가올 봄'이 아니라 '올해 봄'을 뜻하므로 가을은 물론이고 같은 해라면 언제든지 쓸 수 있습니다. 한편, '지난봄'은 '바로 전에 지나간 봄'을 뜻하므로 같은 해 여름, 가을, 겨울은 물론, 다음 해 봄에도 쓸 수 있습니다."
41,"'올 듯하다', '올듯하다'의 띄어쓰기",'비가 {올 듯하다/올듯하다}'의 띄어쓰기는 무엇인가요?,"'비가 올 듯하다'로 띄어 쓰는 것을 원칙으로 하되 '비가 올듯하다'로 붙여 쓰는 것도 허용합니다. '올 듯하다'는 본용언과 보조 용언으로 이루어진 구성인데, 한글맞춤법 제47항에 따르면 보조 용언 '듯하다'는 본용언과 띄어 적는 것이 원칙이고, 붙여 적는 것도 허용됩니다."
42,'오얏나무'의 표준어,'오얏나무'를 '자두나무'라고 할 때 '오얏나무'는 잘못된 말인가요? 아니면 지금은 사라진 옛말인가요?,"'오얏나무'는 '자두나무'의 옛말로서 표준어가 아닙니다. 표준어 규정 제1항에 따르면 표준어는 '교양 있는 사람들이 두루 쓰는 현대 서울말'로 정함을 원칙으로 하는데, ‘오얏’은 ‘李'를 '오얏 리’로 새길 때 한자 훈에 화석화되어 남아 있을 뿐이고 현대 국어에서는 쓰이지 않습니다. 따라서 표준어 규정 제20항에서는 사어(死語)가 되어 쓰이지 않게 된 단어는 고어로 처리하고, 현재 널리 사용되는 단어를 표준어로 삼도록 규정하고, ‘오얏/오얏나무, 자도’ 등은 버리고 ‘자두/자두나무’를 표준어로 삼았습니다."
43,"'오십시오', '오십시요'의 표기",'어서 {오십시요/오십시오}' 중 어느 것이 맞아요?,"'어서 오십시오'로 적는 것이 맞습니다. '오십시오'는 동사 '오다'의 어간 '오-' 뒤에, 하십시오할 자리에 쓰여, 정중한 명령이나 권유를 나타내는 종결 어미 '-십시오'가 붙은 말입니다. '-십시오'의 '오'는 '시'의 'ㅣ' 모음으로 인해 [요]로 소리 나는 경우가 있지만, 적을 때에는 어미의 원형을 밝혀 '십시오'로 적습니다."
44,"'-ㄴ 걸', '-ㄴ걸'의 띄어쓰기","""한국에 {오신걸/오신∨걸} 환영합니다.""에서 맞는 것은 무엇인가요?","""한국에 오신 걸 환영합니다.""와 같이 띄어 쓰는 것이 맞습니다. 여기서 '환영합니다'는 타동사로서 앞에 목적어가 오는데, 그 목적어 '걸'은 의존 명사 '거'('것'의 구어)에 목적격 조사 'ㄹ'이 결합한 말이므로 관형절인 앞말과 띄어 적습니다. 한편, 비슷해 보이는 형태로 ""차는 이미 떠난걸."", ""생각하는 거랑 다른걸.""과 같이 붙여 써야 하는 종결어미 '-ㄴ걸'이 있는데, 종결어미는 주로 문장의 끝에 오므로 서술어 앞에 오는 목적어 '-ㄴ 걸'과 구분됩니다."
45,'보내 드리오리다'의 형태소 분석,김소월의 '진달래꽃'에 나오는 '보내 드리오리다'는 어떻게 분석되나요?,"'보내 드리오리다'는 '보내-+-어+드리-+-오리다'로 분석됩니다. 여기서 '-오리다'는 예스러운 표현으로, 하십시오할 자리에 쓰여, 자신이 할 동작의 의향이나 약속을 나타내는 종결 어미입니다."
46,'올는지'와 '올지'의 차이,"""내일은 비가 올는지 모른다.""라는 문장이 맞는지요? 여기서 '는'을 빼고 ""내일은 비가 올지 모른다.""라고 쓸 수도 있는지요?","뜻 차이는 있겠지만 ""내일은 비가 올지 모른다.""라고 쓸 수도 있습니다. '-ㄹ지'는 '추측에 대한 막연한 의문'을 나타내는 종결어미로, 다음 날 비가 올 것이라 추측하면서 그에 대한 막연한 의문을 나타냅니다. 한편, ""내일은 비가 올는지 모른다.""의 '-ㄹ는지'는 '불확실한 사실의 실현 가능성에 대한 의문'을 나타내는 종결어미로 다음 날 비가 올 가능성 자체에 대한 의문을 나타냅니다."
47,'바르다'의 활용,바르-+-아'의 활용형은 무엇인가요?,"'바르-'에 '-아'가 결합하면 ‘발라’와 같이 활용합니다. ‘바르다’는 어간의 끝음절 '르'가 어미 '-아/-어 앞에서 'ㄹㄹ'로 바뀌는, 이른바 '르' 불규칙 활용을 하는 용언입니다."
48,'예상하지'의 준말,"'예상하지 못한'을 줄이면 '예상지 못한'인가요, '예상치 못한'인가요?","'예상하지 못한'을 줄인 말은 '예상치 못한'입니다. 한글맞춤법 제49항에 따르면 어근 받침이 울림소리(모음, ㄴ, ㄹ, ㅁ, ㅇ)로 끝난 경우에는 어간의 끝음절 ‘하’의 ‘ㅏ’만 줄고 남은 'ㅎ'이 다음 음절의 첫소리와 어울려 거센소리가 됩니다. 따라서 어근이 'ㅇ'으로 끝난 '예상하지'는 어간 끝음절 ‘하’의 ‘ㅏ’가 줄고, 남은 ‘ㅎ’이 다음 음절의 첫소리와 어울려 '예상치'로 줄어드는 것입니다."
49,'예뻐지다'의 품사,"""영희가 예뻐지려고 노력했다.""가 성립되는 것으로 보아 '예쁘다’와 같은 형용사에 ‘-어지다’가 붙으면 동사적인 의미로 바뀌게 되나요?","그렇습니다. '예뻐지다'는 아예 합성동사로 굳어졌지만 '곱다', '어렵다'와 같은 형용사 어간 뒤에 ‘-어지다’가 붙어 '고와지다', '어려워지다'가 되면 동사와 같은 기능을 합니다. '지다'는 '-어지다' 구성으로 쓰여 앞말이 뜻하는 상태로 됨을 나타내는 보조 동사이나, 여느 보조 용언과 달리 형용사를 동사로 바꾸는 문법적인 기능이 있어 관행적으로 항상 붙여 씁니다."
